date,Byproduct,Gross farm value,Net farm value,Wholesale value,Retail value,Total,Farm-wholesale,Wholesale-retail
4/1/1972,8.5,82.1,73.6,87.2,114.6,41.0,13.6,27.4
5/1/1972,8.5,85.0,76.5,91.5,114.1,37.6,15.0,22.6
6/1/1972,8.7,89.8,81.1,96.0,116.3,35.2,14.9,20.3
7/1/1972,9.2,90.3,81.1,95.1,120.2,39.1,14.0,25.1
8/1/1972,9.8,84.2,74.4,88.6,118.7,44.3,14.2,30.1
9/1/1972,9.9,82.9,73.0,86.6,115.9,42.9,13.6,29.3
10/1/1972,10.9,83.5,72.6,86.2,115.8,43.2,13.6,29.6
11/1/1972,10.8,80.8,70.0,83.7,115.4,45.4,13.7,31.7
12/1/1972,10.1,88.4,78.3,93.1,117.8,39.5,14.8,24.7
1/1/1973,10.8,97.2,86.4,102.0,125.5,39.1,15.6,23.5
2/1/1973,11.8,103.6,91.8,108.1,134.0,42.2,16.3,25.9
3/1/1973,11.7,108.5,96.8,112.0,139.3,42.5,15.2,27.3
4/1/1973,11.5,107.2,95.7,112.5,140.0,44.3,16.8,27.5
5/1/1973,12.4,109.6,97.2,111.8,140.1,42.9,14.6,28.3
6/1/1973,12.9,112.1,99.2,114.4,139.6,40.4,15.2,25.2
7/1/1973,13.8,115.2,101.4,115.8,140.6,39.2,14.4,24.8
8/1/1973,14.0,129.3,115.3,126.3,148.7,33.4,11.0,22.4
9/1/1973,12.5,109.1,96.6,115.1,149.5,52.9,18.5,34.4
10/1/1973,11.7,99.4,87.7,104.6,140.4,52.7,16.9,35.8
11/1/1973,11.6,96.0,84.4,101.7,139.4,55.0,17.3,37.7
12/1/1973,10.9,95.0,84.1,105.4,138.9,54.8,21.3,33.5
1/1/1974,12.5,114.8,102.3,121.0,147.8,45.5,18.7,26.8
2/1/1974,11.6,111.5,99.9,122.8,155.1,55.2,22.9,32.3
3/1/1974,10.9,102.2,91.3,108.8,147.2,55.9,17.5,38.4
4/1/1974,10.3,100.0,89.7,107.3,141.2,51.5,17.6,33.9
5/1/1974,9.3,97.9,88.6,107.9,139.9,51.3,19.3,32.0
6/1/1974,8.4,91.4,83.0,101.8,136.9,53.9,18.8,35.1
7/1/1974,9.7,106.6,96.9,116.8,143.0,46.1,19.9,26.2
8/1/1974,10.9,114.8,103.9,120.4,148.7,44.8,16.5,28.3
9/1/1974,9.4,100.3,90.9,108.7,147.0,56.1,17.8,38.3
10/1/1974,8.7,96.4,87.7,105.5,142.0,54.3,17.8,36.5
11/1/1974,8.0,92.1,84.1,101.4,139.7,55.6,17.3,38.3
12/1/1974,7.3,90.0,82.7,98.9,137.3,54.6,16.2,38.4
1/1/1975,6.9,88.9,82.0,100.3,138.1,56.1,18.3,37.8
2/1/1975,6.5,85.2,78.7,95.6,134.2,55.5,16.9,38.6
3/1/1975,7.3,88.4,81.1,97.5,132.2,51.1,16.4,34.7
4/1/1975,8.8,105.0,96.2,114.3,139.4,43.2,18.1,25.1
5/1/1975,9.5,120.4,110.9,130.9,154.0,43.1,20.0,23.1
6/1/1975,9.9,127.5,117.6,139.2,164.5,46.9,21.6,25.3
7/1/1975,10.3,123.2,112.9,135.2,167.9,55.0,22.3,32.7
8/1/1975,10.2,113.8,103.6,126.7,162.2,58.6,23.1,35.5
9/1/1975,10.3,117.4,107.1,129.3,159.5,52.4,22.2,30.2
10/1/1975,10.4,114.4,104.0,123.1,159.1,55.1,19.1,36.0
11/1/1975,10.1,108.6,98.5,118.6,158.0,59.5,20.1,39.4
12/1/1975,9.8,110.0,100.2,119.3,157.4,57.2,19.1,38.1
1/1/1976,9.5,99.5,90.0,109.9,155.4,65.4,19.9,45.5
2/1/1976,8.9,93.4,84.5,102.1,149.2,64.7,17.6,47.1
3/1/1976,8.6,87.3,78.7,94.1,141.5,62.8,15.4,47.4
4/1/1976,11.4,105.1,93.7,109.0,148.6,54.9,15.3,39.6
5/1/1976,10.9,98.6,87.7,104.4,148.5,60.8,16.7,44.1
6/1/1976,10.7,97.8,87.1,103.2,147.5,60.4,16.1,44.3
7/1/1976,10.1,91.1,81.0,96.0,145.0,64.0,15.0,49.0
8/1/1976,9.9,89.6,79.7,94.6,142.4,62.7,14.9,47.8
9/1/1976,9.9,89.0,79.1,94.9,141.0,61.9,15.8,46.1
10/1/1976,10.2,91.0,80.8,96.3,140.2,59.4,15.5,43.9
11/1/1976,9.3,94.5,85.2,100.5,142.6,57.4,15.3,42.1
12/1/1976,9.9,96.4,86.5,103.5,146.0,59.5,17.0,42.5
1/1/1977,10.8,91.9,81.1,99.1,144.6,63.5,18.0,45.5
2/1/1977,10.8,91.5,80.7,97.5,141.6,60.9,16.8,44.1
3/1/1977,11.6,90.3,78.7,94.6,140.3,61.6,15.9,45.7
4/1/1977,12.6,97.2,84.6,100.1,141.1,56.5,15.5,41.0
5/1/1977,12.3,101.3,89.0,105.7,145.9,56.9,16.7,40.2
6/1/1977,11.2,97.2,86.0,103.3,144.8,58.8,17.3,41.5
7/1/1977,11.1,98.6,87.5,104.4,145.9,58.4,16.9,41.5
8/1/1977,11.1,96.1,85.0,102.5,146.9,61.9,17.5,44.4
9/1/1977,11.0,97.2,86.2,103.4,146.7,60.5,17.2,43.3
10/1/1977,11.0,101.8,90.8,108.4,149.4,58.6,17.6,41.0
11/1/1977,11.3,101.0,89.7,108.1,149.9,60.2,18.4,41.8
12/1/1977,11.4,104.0,92.6,111.8,153.1,60.5,19.2,41.3
1/1/1978,11.8,104.7,92.9,112.4,156.8,63.9,19.5,44.4
2/1/1978,11.9,108.5,96.6,116.5,159.0,62.4,19.9,42.5
3/1/1978,12.6,118.1,105.5,122.7,164.2,58.7,17.2,41.5
4/1/1978,13.0,127.5,114.5,133.2,173.0,58.5,18.7,39.8
5/1/1978,13.7,139.2,125.5,144.8,182.7,57.2,19.3,37.9
6/1/1978,14.1,134.6,120.5,141.3,191.9,71.4,20.8,50.6
7/1/1978,14.4,131.8,117.4,138.0,188.3,70.9,20.6,50.3
8/1/1978,15.6,125.8,110.2,130.5,186.1,75.9,20.3,55.6
9/1/1978,16.7,130.4,113.7,134.1,184.2,70.5,20.4,50.1
10/1/1978,16.8,130.2,113.4,133.7,184.4,71.0,20.3,50.7
11/1/1978,16.4,128.3,111.9,131.2,184.6,72.7,19.3,53.4
12/1/1978,16.2,134.4,118.2,138.4,190.3,72.1,20.2,51.9
1/1/1979,16.9,145.7,128.8,152.5,201.4,72.6,23.7,48.9
2/1/1979,19.0,156.8,137.8,159.6,211.6,73.8,21.8,52.0
3/1/1979,24.9,172.7,147.8,170.2,222.1,74.3,22.4,51.9
4/1/1979,26.7,181.4,154.7,176.6,228.8,74.1,21.9,52.2
5/1/1979,27.0,178.6,151.6,176.6,236.1,84.5,25.0,59.5
6/1/1979,24.1,166.0,141.9,167.8,229.6,87.7,25.9,61.8
7/1/1979,22.7,161.2,138.5,162.9,228.3,89.8,24.4,65.4
8/1/1979,21.0,151.4,130.4,154.0,217.1,86.7,23.6,63.1
9/1/1979,20.6,163.6,143.0,167.1,222.7,79.7,24.1,55.6
10/1/1979,19.6,157.3,137.7,160.6,220.5,82.8,22.9,59.9
11/1/1979,19.0,161.6,142.6,169.3,222.4,79.8,26.7,53.1
12/1/1979,18.8,163.9,145.1,171.4,228.6,83.5,26.3,57.2
1/1/1980,18.1,158.3,140.2,167.5,230.5,90.3,27.3,63.0
2/1/1980,16.7,162.4,145.7,170.2,230.8,85.1,24.5,60.6
3/1/1980,14.9,160.6,145.7,169.4,232.2,86.5,23.7,62.8
4/1/1980,14.0,152.8,138.8,163.2,229.3,90.5,24.4,66.1
5/1/1980,13.0,156.2,143.2,167.6,226.5,83.3,24.4,58.9
6/1/1980,14.0,160.7,146.7,172.2,226.7,80.0,25.5,54.5
7/1/1980,16.6,170.8,154.2,179.7,233.8,79.6,25.5,54.1
8/1/1980,18.5,174.5,156.0,182.1,238.1,82.1,26.1,56.0
9/1/1980,17.3,168.0,150.7,176.3,240.7,90.0,25.6,64.4
10/1/1980,17.3,163.2,145.9,172.4,237.5,91.6,26.5,65.1
11/1/1980,18.1,158.0,139.9,166.8,238.2,98.3,26.9,71.4
12/1/1980,16.8,157.4,140.6,165.5,238.8,98.2,24.9,73.3
1/1/1981,15.8,154.5,138.7,165.7,235.4,96.7,27.0,69.7
2/1/1981,14.7,149.2,134.5,159.2,233.5,99.0,24.7,74.3
3/1/1981,15.5,146.7,131.2,155.5,231.6,100.4,24.3,76.1
4/1/1981,16.4,155.0,138.6,161.5,227.0,88.4,22.9,65.5
5/1/1981,16.0,162.3,146.3,170.8,230.3,84.0,24.5,59.5
6/1/1981,15.4,165.2,149.8,174.4,234.8,85.0,24.6,60.4
7/1/1981,15.6,164.2,148.6,176.0,238.8,90.2,27.4,62.8
8/1/1981,15.6,159.1,143.5,169.7,238.6,95.1,26.2,68.9
9/1/1981,15.6,159.1,143.5,169.4,239.7,96.2,25.9,70.3
10/1/1981,15.1,149.2,134.1,158.8,237.4,103.3,24.7,78.6
11/1/1981,14.6,146.6,132.0,156.5,234.9,102.9,24.5,78.4
12/1/1981,14.1,143.3,129.2,155.2,234.0,104.8,26.0,78.8
1/1/1982,13.9,146.3,132.4,159.8,232.9,100.5,27.4,73.1
2/1/1982,13.9,154.3,140.4,165.2,234.0,93.6,24.8,68.8
3/1/1982,14.5,160.0,145.5,170.2,233.0,87.5,24.7,62.8
4/1/1982,15.1,167.5,152.4,178.6,236.3,83.9,26.2,57.7
5/1/1982,15.6,176.0,160.4,187.1,242.3,81.9,26.7,55.2
6/1/1982,15.1,170.1,155.0,181.0,250.3,95.3,26.0,69.3
7/1/1982,15.0,159.0,144.0,168.0,247.5,103.5,24.0,79.5
8/1/1982,15.0,157.0,142.0,165.4,242.7,100.7,23.4,77.3
9/1/1982,14.4,147.6,133.2,157.4,241.9,108.7,24.2,84.5
10/1/1982,13.8,143.1,129.3,153.0,234.6,105.3,23.7,81.6
11/1/1982,13.4,142.6,129.2,152.7,233.1,103.9,23.5,80.4
12/1/1982,12.7,142.5,129.8,152.7,231.7,101.9,22.9,79.0
1/1/1983,12.7,144.7,132.0,154.7,232.9,100.9,22.7,78.2
2/1/1983,12.9,148.9,136.0,158.5,234.6,98.6,22.5,76.1
3/1/1983,13.4,156.1,142.7,165.5,234.1,91.4,22.8,68.6
4/1/1983,15.0,166.6,151.6,176.5,240.3,88.7,24.9,63.8
5/1/1983,15.0,163.4,148.4,171.6,242.5,94.1,23.2,70.9
6/1/1983,14.7,158.6,143.9,167.4,240.0,96.1,23.5,72.6
7/1/1983,15.1,151.4,136.3,160.2,237.9,101.6,23.9,77.7
8/1/1983,16.6,147.8,131.2,154.6,234.5,103.3,23.4,79.9
9/1/1983,15.9,141.9,126.0,149.8,230.7,104.7,23.8,80.9
10/1/1983,15.6,143.2,127.6,149.5,227.9,100.3,21.9,78.4
11/1/1983,16.4,143.7,127.3,149.7,227.2,99.9,22.4,77.5
12/1/1983,16.3,155.4,139.1,163.3,226.4,87.3,24.2,63.1
1/1/1984,17.3,164.1,146.8,171.6,235.2,88.4,24.8,63.6
2/1/1984,17.6,162.8,145.2,167.5,239.8,94.6,22.3,72.3
3/1/1984,17.8,166.7,148.9,170.7,240.4,91.5,21.8,69.7
4/1/1984,18.6,164.9,146.3,168.3,240.6,94.3,22.0,72.3
5/1/1984,20.0,158.6,138.6,161.7,237.8,99.2,23.1,76.1
6/1/1984,18.4,155.9,137.5,159.0,235.6,98.1,21.5,76.6
7/1/1984,17.7,159.3,141.6,163.5,232.3,90.7,21.9,68.8
8/1/1984,18.0,155.8,137.8,158.5,233.1,95.3,20.7,74.6
9/1/1984,18.0,150.4,132.4,153.4,231.2,98.8,21.0,77.8
10/1/1984,17.4,148.3,130.9,150.4,230.9,100.0,19.5,80.5
11/1/1984,16.6,157.1,140.5,161.3,232.6,92.1,20.8,71.3
12/1/1984,16.2,159.4,143.2,164.6,236.2,93.0,21.4,71.6
1/1/1985,15.5,155.9,140.4,161.8,235.6,95.2,21.4,73.8
2/1/1985,15.0,152.8,137.8,158.9,234.6,96.8,21.1,75.7
3/1/1985,14.3,144.6,130.3,150.8,234.5,104.2,20.5,83.7
4/1/1985,15.2,142.8,127.6,146.3,232.8,105.2,18.7,86.5
5/1/1985,14.6,140.6,126.0,146.4,230.4,104.4,20.4,84.0
6/1/1985,13.6,137.1,123.5,144.5,228.1,104.6,21.0,83.6
7/1/1985,13.7,128.3,114.6,135.0,226.7,112.1,20.4,91.7
8/1/1985,14.1,126.7,112.6,131.9,221.7,109.1,19.3,89.8
9/1/1985,13.9,125.6,111.7,133.7,219.8,108.1,22.0,86.1
10/1/1985,14.9,143.1,128.2,149.7,220.4,92.2,21.5,70.7
11/1/1985,16.2,155.0,138.8,163.8,226.0,87.2,25.0,62.2
12/1/1985,15.9,154.0,138.1,162.6,232.9,94.8,24.5,70.3
1/1/1986,15.5,144.5,129.0,152.6,232.9,103.9,23.6,80.3
2/1/1986,14.9,136.5,121.6,143.1,228.5,106.9,21.5,85.4
3/1/1986,14.5,134.9,120.4,141.0,226.4,106.0,20.6,85.4
4/1/1986,14.4,131.2,116.8,137.8,223.1,106.3,21.0,85.3
5/1/1986,14.7,135.7,121.0,142.8,222.9,101.9,21.8,80.1
6/1/1986,14.3,128.2,113.9,138.4,222.7,108.8,24.5,84.3
7/1/1986,15.4,140.9,125.5,146.9,223.5,98.0,21.4,76.6
8/1/1986,14.8,143.6,128.8,149.3,226.3,97.5,20.5,77.0
9/1/1986,14.5,144.1,129.6,149.5,227.1,97.5,19.9,77.6
10/1/1986,15.4,144.9,129.5,150.9,227.3,97.8,21.4,76.4
11/1/1986,15.7,150.5,134.8,156.0,229.8,95.0,21.2,73.8
12/1/1986,16.2,145.2,129.0,150.1,230.8,101.8,21.1,80.7
1/1/1987,16.4,142.8,126.4,147.5,232.6,106.2,21.1,85.1
2/1/1987,17.1,149.5,132.4,151.4,229.6,97.2,19.0,78.2
3/1/1987,17.3,151.4,134.1,153.6,229.6,95.5,19.5,76.0
4/1/1987,18.9,163.4,144.5,166.1,232.8,88.3,21.6,66.7
5/1/1987,19.7,171.4,151.7,176.0,239.3,87.6,24.3,63.3
6/1/1987,19.2,168.7,149.5,173.5,245.2,95.7,24.0,71.7
7/1/1987,19.1,159.0,139.9,163.8,244.0,104.1,23.9,80.2
8/1/1987,19.4,156.5,137.1,157.0,241.2,104.1,19.9,84.2
9/1/1987,19.6,158.0,138.4,159.5,241.3,102.9,21.1,81.8
10/1/1987,20.0,157.9,137.9,159.2,241.5,103.6,21.3,82.3
11/1/1987,20.0,156.9,136.9,156.8,242.4,105.5,19.9,85.6
12/1/1987,20.5,156.0,135.5,155.4,241.1,105.6,19.9,85.7
1/1/1988,21.3,158.8,137.5,159.3,238.8,101.3,21.8,79.5
2/1/1988,21.9,166.0,144.1,163.3,242.1,98.0,19.2,78.8
3/1/1988,23.5,173.1,149.6,169.6,244.3,94.7,20.0,74.7
4/1/1988,23.3,176.7,153.4,172.6,245.9,92.5,19.2,73.3
5/1/1988,22.4,181.9,159.5,183.0,248.9,89.4,23.5,65.9
6/1/1988,21.1,170.1,149.0,174.2,255.5,106.5,25.2,81.3
7/1/1988,21.1,159.9,138.8,159.2,254.9,116.1,20.4,95.7
8/1/1988,21.5,165.3,143.8,165.7,253.4,109.6,21.9,87.7
9/1/1988,19.7,166.3,146.6,169.1,255.3,108.7,22.5,86.2
10/1/1988,19.5,169.1,149.6,171.1,253.4,103.8,21.5,82.3
11/1/1988,19.1,171.4,152.3,171.8,256.0,103.7,19.5,84.2
12/1/1988,18.9,173.7,154.8,174.1,255.6,100.8,19.3,81.5
1/1/1989,18.8,175.4,156.6,175.2,259.2,102.6,18.6,84.0
2/1/1989,19.3,177.7,158.4,176.3,258.2,99.8,17.9,81.9
3/1/1989,21.1,185.7,164.6,180.5,264.7,100.1,15.9,84.2
4/1/1989,19.8,184.8,165.0,182.7,265.3,100.3,17.7,82.6
5/1/1989,19.1,180.9,161.8,182.3,266.7,104.9,20.5,84.4
6/1/1989,19.1,172.8,153.7,176.3,268.9,115.2,22.6,92.6
7/1/1989,19.9,171.1,151.2,174.2,269.7,118.5,23.0,95.5
8/1/1989,20.2,175.9,155.7,173.7,268.2,112.5,18.0,94.5
9/1/1989,20.0,166.8,146.8,169.6,266.2,119.4,22.8,96.6
10/1/1989,20.7,172.8,152.1,169.5,265.0,112.9,17.4,95.5
11/1/1989,21.0,180.8,159.8,177.1,266.4,106.6,17.3,89.3
12/1/1989,21.7,186.6,164.9,183.8,269.4,104.5,18.9,85.6
1/1/1990,21.8,189.4,167.6,187.1,274.4,106.8,19.5,87.3
2/1/1990,21.5,188.7,167.2,186.0,271.0,103.8,18.8,85.0
3/1/1990,21.1,190.4,169.3,187.7,272.5,103.2,18.4,84.8
4/1/1990,21.2,192.0,170.8,190.1,277.9,107.1,19.3,87.8
5/1/1990,20.7,187.9,167.2,191.6,283.6,116.4,24.4,92.0
6/1/1990,20.4,184.2,163.8,187.0,282.1,118.3,23.2,95.1
7/1/1990,20.1,180.6,160.5,182.4,279.9,119.4,21.9,97.5
8/1/1990,19.9,186.6,166.7,187.1,280.6,113.9,20.4,93.5
9/1/1990,20.1,186.8,166.7,186.6,280.6,113.9,19.9,94.0
10/1/1990,19.8,190.8,171.0,192.2,282.7,111.7,21.2,90.5
11/1/1990,19.8,194.5,174.7,197.6,291.6,116.9,22.9,94.0
12/1/1990,20.1,194.8,174.7,199.4,295.3,120.6,24.7,95.9
1/1/1991,20.5,190.7,170.2,192.6,294.9,124.7,22.4,102.3
2/1/1991,19.8,190.9,171.1,189.6,292.5,121.4,18.5,102.9
3/1/1991,19.2,194.7,175.5,193.4,295.4,119.9,17.9,102.0
4/1/1991,19.0,194.3,175.3,194.1,297.1,121.8,18.8,103.0
5/1/1991,18.3,188.3,170.0,190.9,296.1,126.1,20.9,105.2
6/1/1991,17.9,178.8,160.9,186.1,292.4,131.5,25.2,106.3
7/1/1991,17.2,173.4,156.2,178.8,288.4,132.2,22.6,109.6
8/1/1991,16.3,161.4,145.1,172.2,285.4,140.3,27.1,113.2
9/1/1991,16.5,163.3,146.8,170.8,280.1,133.3,24.0,109.3
10/1/1991,17.1,166.9,149.8,174.5,277.2,127.4,24.7,102.7
11/1/1991,18.0,170.5,152.5,175.1,281.0,128.5,22.6,105.9
12/1/1991,18.1,167.3,149.2,171.8,279.4,130.2,22.6,107.6
1/1/1992,18.3,173.5,155.2,176.6,278.7,123.5,21.4,102.1
2/1/1992,18.4,184.1,165.7,184.6,282.5,116.8,18.9,97.9
3/1/1992,18.6,187.1,168.5,183.3,285.6,117.1,14.8,102.3
4/1/1992,18.5,186.8,168.3,182.6,287.6,119.3,14.3,105.0
5/1/1992,18.6,182.7,164.1,183.4,285.8,121.7,19.3,102.4
6/1/1992,18.1,177.5,159.4,180.8,287.1,127.7,21.4,106.3
7/1/1992,18.7,175.6,156.9,173.6,283.8,126.9,16.7,110.2
8/1/1992,18.7,177.7,159.0,175.8,280.1,121.1,16.8,104.3
9/1/1992,19.5,179.1,159.6,175.9,284.1,124.5,16.3,108.2
10/1/1992,20.0,180.1,160.1,177.5,285.6,125.5,17.4,108.1
11/1/1992,20.6,180.1,159.5,177.1,287.1,127.6,17.6,110.0
12/1/1992,20.9,186.0,165.1,184.2,287.3,122.2,19.1,103.1
1/1/1993,20.7,190.9,170.2,188.5,288.4,118.2,18.3,99.9
2/1/1993,20.0,192.7,172.7,187.8,292.5,119.8,15.1,104.7
3/1/1993,20.0,198.7,178.7,191.7,295.5,116.8,13.0,103.8
4/1/1993,19.8,197.0,177.2,193.5,299.1,121.9,16.3,105.6
5/1/1993,19.1,194.6,175.5,195.3,304.2,128.7,19.8,108.9
6/1/1993,18.8,184.6,165.8,185.2,297.9,132.1,19.4,112.7
7/1/1993,19.3,176.9,157.6,175.9,296.7,139.1,18.3,120.8
8/1/1993,19.4,179.5,160.1,179.4,290.9,130.8,19.3,111.5
9/1/1993,19.2,175.4,156.2,176.3,288.4,132.2,20.1,112.1
10/1/1993,19.3,170.3,151.0,171.6,288.5,137.5,20.6,116.9
11/1/1993,19.3,171.4,152.1,174.2,291.0,138.9,22.1,116.8
12/1/1993,19.5,171.8,152.3,170.6,288.2,135.9,18.3,117.6
1/1/1994,19.2,173.6,154.4,172.4,286.8,132.4,18.0,114.4
2/1/1994,19.2,174.7,155.5,172.7,284.9,129.4,17.2,112.2
3/1/1994,19.6,180.2,160.6,176.9,288.3,127.7,16.3,111.4
4/1/1994,19.9,180.7,160.8,176.8,287.1,126.3,16.0,110.3
5/1/1994,19.0,164.8,145.8,167.6,288.1,142.3,21.8,120.5
6/1/1994,19.0,152.9,133.9,158.5,283.3,149.4,24.6,124.8
7/1/1994,19.5,156.7,137.2,160.4,280.1,142.9,23.2,119.7
8/1/1994,20.0,160.8,140.8,166.6,278.4,137.6,25.8,111.8
9/1/1994,21.4,158.2,136.8,162.0,280.0,143.2,25.2,118.0
10/1/1994,21.9,158.7,136.8,159.2,277.9,141.1,22.4,118.7
11/1/1994,22.8,164.5,141.7,163.8,280.2,138.5,22.1,116.4
12/1/1994,23.7,165.7,142.0,164.3,279.4,137.4,22.3,115.1
1/1/1995,23.7,173.7,150.0,171.7,282.6,132.6,21.7,110.9
2/1/1995,23.3,174.6,151.3,170.4,284.3,133.0,19.1,113.9
3/1/1995,23.2,169.5,146.3,165.7,284.7,138.4,19.4,119.0
4/1/1995,22.8,162.2,139.4,158.5,283.7,144.3,19.1,125.2
5/1/1995,21.1,154.0,132.9,160.4,282.2,149.3,27.5,121.8
6/1/1995,20.1,154.2,134.1,165.6,283.4,149.3,31.5,117.8
7/1/1995,19.9,149.0,129.1,158.5,287.4,158.3,29.4,128.9
8/1/1995,19.9,149.5,129.6,157.8,284.4,154.8,28.2,126.6
9/1/1995,19.3,152.7,133.4,162.6,283.5,150.1,29.2,120.9
10/1/1995,19.4,153.7,134.3,165.5,285.3,151.0,31.2,119.8
11/1/1995,20.7,162.1,141.4,167.0,286.4,145.0,25.6,119.4
12/1/1995,20.4,158.9,138.5,162.8,284.1,145.6,24.3,121.3
1/1/1996,20.0,153.4,133.4,156.2,281.5,148.1,22.8,125.3
2/1/1996,19.7,150.8,131.1,152.2,278.8,147.7,21.1,126.6
3/1/1996,19.8,149.8,130.0,148.4,275.8,145.8,18.4,127.4
4/1/1996,19.6,144.1,124.5,147.9,279.3,154.8,23.4,131.4
5/1/1996,19.9,142.7,122.8,149.0,276.6,153.8,26.2,127.6
6/1/1996,19.9,147.8,127.9,154.6,276.3,148.4,26.7,121.7
7/1/1996,22.0,153.6,131.6,155.6,277.6,146.0,24.0,122.0
8/1/1996,23.6,160.8,137.2,159.9,281.1,143.9,22.7,121.2
9/1/1996,25.3,169.0,143.7,161.8,280.7,137.0,18.1,118.9
10/1/1996,23.9,170.4,146.5,167.0,281.9,135.4,20.5,114.9
11/1/1996,22.1,173.2,151.1,180.0,285.9,134.8,28.9,105.9
12/1/1996,22.9,161.6,138.7,165.3,287.3,148.6,26.6,122.0
1/1/1997,23.7,157.9,134.2,155.9,281.7,147.5,21.7,125.8
2/1/1997,23.9,156.8,132.9,151.5,278.6,145.7,18.6,127.1
3/1/1997,24.0,164.0,140.0,160.5,276.1,136.1,20.5,115.6
4/1/1997,23.3,164.2,140.9,159.8,279.0,138.1,18.9,119.2
5/1/1997,21.7,162.4,140.7,162.5,280.3,139.6,21.8,117.8
6/1/1997,20.7,153.9,133.2,156.1,277.6,144.4,22.9,121.5
7/1/1997,20.2,154.9,134.7,157.1,279.2,144.5,22.4,122.1
8/1/1997,20.4,158.4,138.0,161.2,281.0,143.0,23.2,119.8
9/1/1997,21.4,159.2,137.8,159.4,283.0,145.2,21.6,123.6
10/1/1997,22.2,160.4,138.2,158.7,279.0,140.8,20.5,120.3
11/1/1997,22.0,161.5,139.5,160.2,278.0,138.5,20.7,117.8
12/1/1997,20.9,157.4,136.5,155.6,280.9,144.4,19.1,125.3
1/1/1998,17.4,153.2,135.8,154.2,275.3,139.5,18.4,121.1
2/1/1998,17.7,145.7,128.0,148.5,272.0,144.0,20.5,123.5
3/1/1998,19.2,149.1,129.9,147.0,273.1,143.2,17.1,126.1
4/1/1998,18.7,155.1,136.4,151.6,278.2,141.8,15.2,126.6
5/1/1998,18.7,155.8,137.1,157.0,277.4,140.3,19.9,120.4
6/1/1998,18.0,152.8,134.8,154.5,278.7,143.9,19.7,124.2
7/1/1998,16.3,144.9,128.6,154.0,278.5,149.9,25.4,124.5
8/1/1998,15.9,142.0,126.1,160.6,279.4,153.3,34.5,118.8
9/1/1998,15.4,140.0,124.6,153.2,274.2,149.6,28.6,121.0
10/1/1998,15.9,146.8,130.9,156.4,275.0,144.1,25.5,118.6
11/1/1998,16.2,147.7,131.5,158.1,280.0,148.5,26.6,121.9
12/1/1998,16.7,142.2,125.5,150.4,283.6,158.1,24.9,133.2
1/1/1999,15.9,146.0,130.1,156.3,279.1,149.0,26.2,122.8
2/1/1999,15.7,148.5,132.8,153.7,278.0,145.2,20.9,124.3
3/1/1999,15.4,155.3,139.9,160.3,276.9,137.0,20.4,116.6
4/1/1999,15.2,156.3,141.1,166.1,283.9,142.8,25.0,117.8
5/1/1999,14.6,154.2,139.6,171.3,283.2,143.6,31.7,111.9
6/1/1999,14.5,156.6,142.1,178.1,287.2,145.1,36.0,109.1
7/1/1999,15.4,154.0,138.6,171.5,289.3,150.7,32.9,117.8
