Item,Unnamed: 0,Item,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
138,138,Bananas per lb. (453.6 gm),2018,0.568,0.574,0.582,0.578,0.575,0.575,0.575,0.569,0.573,0.574,0.566,0.577
139,139,Bananas per lb. (453.6 gm),2019,0.576,0.571,0.581,0.567,0.579,0.574,0.569,0.578,0.569,0.573,0.573,0.573
140,140,Bananas per lb. (453.6 gm),2020,0.570,0.574,0.576,0.581,0.589,0.588,0.580,0.576,0.574,0.577,0.578,0.572
141,141,Bananas per lb. (453.6 gm),2021,0.597,0.590,0.594,0.604,0.600,0.595,0.594,0.589,0.597,0.600,0.619,0.622
142,142,Bananas per lb. (453.6 gm),2022,0.630,0.628,0.642,0.637,0.642,0.640,0.640,0.643,0.643,0.634,0.631,0.628
143,143,Oranges Navel per lb. (453.6 gm),2018,1.326,1.339,1.305,1.291,1.348,1.409,1.538,1.559,1.511,1.502,1.437,1.389
144,144,Oranges Navel per lb. (453.6 gm),2019,1.344,1.298,1.346,1.280,1.331,1.296,1.411,1.442,1.426,1.470,1.429,1.327
145,145,Oranges Navel per lb. (453.6 gm),2020,1.244,1.218,1.174, ,1.209,1.296, , , , , ,1.329
146,146,Oranges Navel per lb. (453.6 gm),2021,1.303,1.321,1.266,1.320,1.317,1.354, , , ,1.490,1.440,1.448
147,147,Oranges Navel per lb. (453.6 gm),2022,1.427,1.445,1.480,1.505,1.546,1.600, ,1.703,1.730,1.730,1.641,1.485
148,148,Grapefruit per lb. (453.6 gm),2018,1.251,1.269,1.293,1.318,1.330,1.346,1.386,1.422,1.422,1.393,1.371,1.347
149,149,Grapefruit per lb. (453.6 gm),2019,1.305,1.315,1.366,1.344,1.365,1.336,1.389,1.353,1.371,1.421,1.324,1.254
150,150,Grapefruit per lb. (453.6 gm),2020,1.226,1.189, , , , , , , , , , 
151,151,Lemons per lb. (453.6 gm),2018,2.045,2.060,2.060,2.046,2.050,2.115,2.198,2.463,2.552,2.557,2.452,2.390
152,152,Lemons per lb. (453.6 gm),2019,2.363,2.270,2.276,2.221,2.167,2.066,2.041,2.030,2.047,2.062,2.014,1.995
153,153,Lemons per lb. (453.6 gm),2020,1.949,1.959, , , , , , , , , ,1.896
154,154,Lemons per lb. (453.6 gm),2021, , , , ,1.981,1.953, , , ,1.983, ,2.014
155,155,Lemons per lb. (453.6 gm),2022,2.078, ,2.095,2.225,2.261,2.192,2.138,2.032,2.086,2.090,2.122,2.085
156,156,Pears Anjou per lb. (453.6 gm),2018,1.641,1.560,1.558,1.521,1.568,1.621,1.662, , , ,1.513,1.570
157,157,Pears Anjou per lb. (453.6 gm),2019,1.634,1.586,1.601,1.601,1.635,1.614,1.552, , , , , 
158,158,Peaches per lb. (453.6 gm),2018, , , , , ,2.167,2.080,2.060,2.008, , , 
159,159,Peaches per lb. (453.6 gm),2019, , , , , ,2.134,2.143,1.943,2.050, , , 
160,160,Peaches per lb. (453.6 gm),2020, , , , , , , ,2.088, , , , 
161,161,Strawberries dry pint per 12 oz. (340.2 gm),2018,2.872,2.492,2.227,2.475,2.079,1.938,2.007,2.004,2.147,2.216,2.502,3.166
162,162,Strawberries dry pint per 12 oz. (340.2 gm),2019,3.279,2.872,2.475,2.504,1.972,2.066,2.111,2.010,2.153,2.402,2.604,3.096
163,163,Strawberries dry pint per 12 oz. (340.2 gm),2020,2.884,2.558,2.367, ,2.174,2.020,2.020,2.214,2.234,2.745,2.934,3.290
164,164,Strawberries dry pint per 12 oz. (340.2 gm),2021,3.044,2.893,2.700,2.803,2.648,2.318,2.256,2.434,2.454,2.687,3.079, 
165,165,Strawberries dry pint per 12 oz. (340.2 gm),2022,3.106,3.045,2.711,2.777,2.438,2.317,2.208,2.558,2.782,3.108,3.631,3.856
166,166,Grapes Thompson Seedless per lb. (453.6 gm),2018,3.023,2.900,2.602,2.817,3.136,2.829,2.774,2.282,2.208,2.088,2.060,2.283
167,167,Grapes Thompson Seedless per lb. (453.6 gm),2019,2.589,2.763,2.746,2.919,3.123,2.675,2.150,2.023,1.919,1.954,2.097,2.386
168,168,Grapes Thompson Seedless per lb. (453.6 gm),2020,2.751,2.572,2.519, , ,2.117,2.121,2.183,1.955,2.183,2.229,2.204
169,169,Grapes Thompson Seedless per lb. (453.6 gm),2021,2.501,2.503,2.602, , ,2.754,2.177,2.326,2.359, , , 
170,170,Cherries per lb. (453.6 gm),2018, , , , , ,4.696,3.700, , , , , 
171,171,Cherries per lb. (453.6 gm),2019, , , , , ,4.647,3.229, , , , , 
172,172,Potatoes white per lb. (453.6 gm),2018,0.730,0.736,0.727,0.728,0.739,0.744,0.765,0.768,0.750,0.746,0.725,0.718
173,173,Potatoes white per lb. (453.6 gm),2019,0.749,0.751,0.755,0.749,0.772,0.743,0.780,0.786,0.794,0.785,0.764,0.780
174,174,Potatoes white per lb. (453.6 gm),2020,0.802,0.786, , ,0.855,0.854,0.854,0.856,0.798,0.802,0.756,0.749
175,175,Potatoes white per lb. (453.6 gm),2021,0.782,0.762,0.786,0.774,0.764,0.769,0.776,0.797,0.798,0.808,0.767,0.778
176,176,Potatoes white per lb. (453.6 gm),2022,0.792,0.802,0.825,0.849,0.875,0.891,0.945,0.994,1.019,0.991,0.945,0.948
177,177,Lettuce iceberg per lb. (453.6 gm),2018,0.922,0.894,0.889,0.906,0.968,0.890,0.903,0.913,0.876,0.910,1.007,1.250
178,178,Lettuce iceberg per lb. (453.6 gm),2019,1.161,1.114,1.301,1.213,1.108,1.083,1.207,1.143,1.107,1.134,1.337,1.304
179,179,Lettuce iceberg per lb. (453.6 gm),2020,1.341,1.248, , , , , , , , , , 
180,180,Tomatoes field grown per lb. (453.6 gm),2018,2.336,2.026,1.868,1.802,1.675,1.706,1.887,1.737,1.826,1.901,2.057,2.175
181,181,Tomatoes field grown per lb. (453.6 gm),2019,2.227,2.068,2.079,1.947,1.823,1.812,1.799,1.864,1.911,1.779,1.903,1.954
182,182,Tomatoes field grown per lb. (453.6 gm),2020,2.221,2.197, , ,1.851,1.922,1.977,1.874,1.847,1.911,1.935,1.893
183,183,Tomatoes field grown per lb. (453.6 gm),2021,1.928,1.838,1.768,1.786,1.804,1.830,1.827,1.858,1.828,1.892,1.924,1.906
184,184,Tomatoes field grown per lb. (453.6 gm),2022,1.892,1.826,1.827,1.794,1.819,1.842,1.842,1.890,1.901,1.974,2.107,2.228
185,185,Peppers sweet per lb. (453.6 gm),2018,2.347,2.278,2.225,2.343,2.366,2.270,2.513,2.328,2.328,2.281,2.485,2.652
186,186,Peppers sweet per lb. (453.6 gm),2019,2.493,2.490,2.498,2.426,2.313,2.364,2.420,2.371,2.412,2.228,2.307,2.501
