date,Net farm value,Wholesale value,Retail value
8/1/2013,121.8,170.7,375.7
9/1/2013,115.8,168.2,379.2
10/1/2013,111.9,165.0,380.9
11/1/2013,103.2,161.2,377.6
12/1/2013,99.7,156.7,376.1
1/1/2014,100.7,153.9,375.8
2/1/2014,110.8,166.5,372.7
3/1/2014,145.7,199.2,383.0
4/1/2014,154.4,202.5,395.0
5/1/2014,141.1,192.0,409.9
6/1/2014,148.1,207.3,411.6
7/1/2014,166.5,223.1,412.7
8/1/2014,139.5,194.9,420.0
9/1/2014,128.7,189.4,421.5
10/1/2014,130.7,194.6,414.9
11/1/2014,109.9,169.5,406.4
12/1/2014,105.5,159.0,399.1
1/1/2015,93.4,149.2,398.9
2/1/2015,79.1,139.9,394.1
3/1/2015,79.0,133.0,387.4
4/1/2015,78.2,133.3,376.9
5/1/2015,99.7,153.0,369.6
6/1/2015,99.6,150.6,370.3
7/1/2015,97.8,144.7,376.9
8/1/2015,98.0,151.8,383.4
9/1/2015,90.6,151.6,391.9
10/1/2015,92.1,156.6,397.3
11/1/2015,72.9,145.9,391.7
12/1/2015,68.3,139.0,384.6
1/1/2016,70.4,140.1,379.3
2/1/2016,81.4,144.1,373.8
3/1/2016,81.7,145.3,376.0
4/1/2016,83.1,150.1,379.9
5/1/2016,95.2,156.0,378.1
6/1/2016,101.6,158.8,377.0
7/1/2016,98.1,163.5,378.1
8/1/2016,83.2,153.3,379.8
9/1/2016,74.9,155.0,378.9
10/1/2016,63.9,143.2,374.3
11/1/2016,59.2,143.3,362.5
12/1/2016,67.9,148.7,358.3
1/1/2017,78.9,151.6,357.0
2/1/2017,92.1,155.6,364.3
3/1/2017,88.1,162.5,378.0
4/1/2017,76.7,158.8,374.7
5/1/2017,87.9,168.2,372.8
6/1/2017,105.6,178.4,375.6
7/1/2017,113.9,186.5,383.3
8/1/2017,100.6,158.4,393.5
9/1/2017,74.7,129.3,398.5
10/1/2017,74.4,121.9,390.7
11/1/2017,79.8,146.6,378.6
12/1/2017,76.2,146.6,374.0
1/1/2018,86.9,150.2,375.0
2/1/2018,88.6,145.0,374.0
3/1/2018,78.0,132.5,375.3
4/1/2018,68.4,123.5,375.2
5/1/2018,80.6,133.3,374.1
6/1/2018,98.9,160.3,369.7
7/1/2018,96.2,163.7,373.1
8/1/2018,64.8,124.7,381.7
9/1/2018,66.2,136.1,378.5
10/1/2018,82.4,149.0,372.7
11/1/2018,72.4,129.2,370.1
12/1/2018,66.5,134.2,374.0
1/1/2019,70.0,135.0,371.4
2/1/2019,64.7,119.4,373.1
3/1/2019,73.6,139.0,379.9
4/1/2019,100.5,164.9,378.7
5/1/2019,103.5,156.0,388.3
6/1/2019,98.0,148.4,392.0
7/1/2019,92.0,148.6,392.7
8/1/2019,96.6,161.5,389.6
9/1/2019,72.1,131.8,387.9
10/1/2019,77.7,144.9,391.2
11/1/2019,73.6,153.1,386.0
12/1/2019,73.1,141.9,381.1
1/1/2020,75.0,136.3,383.7
2/1/2020,69.4,115.4,386.4
3/1/2020,75.1,129.2,384.6
4/1/2020,61.7,121.6,389.3
5/1/2020,81.6,200.7,404.8
6/1/2020,59.0,139.8,424.5
7/1/2020,58.7,135.7,417.9
8/1/2020,67.0,147.1,408.4
9/1/2020,84.0,169.0,405.3
10/1/2020,97.3,186.5,408.4
11/1/2020,86.5,153.0,409.8
12/1/2020,78.8,142.8,412.0
1/1/2021,81.9,160.4,412.2
2/1/2021,93.4,174.4,415.3
3/1/2021,114.3,204.4,416.5
4/1/2021,131.2,212.4,432.3
5/1/2021,140.5,216.3,438.4
6/1/2021,149.2,225.0,454.6
7/1/2021,140.3,231.1,460.2
8/1/2021,135.7,241.4,465.0
9/1/2021,117.9,206.2,471.6
10/1/2021,107.8,202.1,481.6
11/1/2021,92.6,173.4,482.3
12/1/2021,87.5,164.4,473.7
1/1/2022,95.6,183.0,475.3
2/1/2022,115.1,213.2,476.5
3/1/2022,126.3,212.2,483.6
4/1/2022,125.9,208.7,488.5
5/1/2022,126.4,198.3,488.6
6/1/2022,135.3,203.6,493.1
7/1/2022,144.4,228.3,494.4
8/1/2022,147.1,226.3,494.4
9/1/2022,120.5,193.0,500.0
10/1/2022,115.1,190.6,504.7
11/1/2022,107.6,174.7,494.5
12/1/2022,98.9,162.5,482.9
